formula,year
Al1Ni2Ti1,1954
Al1Pd2Y0.1Zr0.9,1954
Sn3Zr5,1954
Al3Ta1,1954
Al5Mo1,1954
Ga0.4Nb3Sn0.6,1954
Ga1Nb0.15Ni2Zr0.85,1954
Ga1Nb0.3Ni2Zr0.7,1954
Ga1Nb2.4V0.6,1954
Ga0.05Nb1Se2,1954
Ir0.37V0.67,1954
Ir0.42Ta0.58,1954
Ir0.85V0.15,1954
Nb2.1Sn1Zr0.9,1954
Nb2.34Sn1Zr0.66,1954
Nb2.4Sn1Ta0.6,1954
Nb2.55Sn1Zr0.45,1954
Ga0.08Ge0.92,1954
Ga0.1Nb1Se2,1954
Ga0.35Nb3Sn0.65,1954
Ga0.4Nb0.6,1954
Ir0.35Ta0.65,1954
Mn0.42Si1V2.49,1954
Mo0.33Rh0.67,1954
Nb2.5Sn1Ta0.5,1954
Mo3Os1,1954
Nb1P1Rh1,1954
Nb1Pt1Si1,1954
Nb1Ru1Si1,1954
Ga5V2,1954
Co7.32Ga25V67.68,1954
Al1Nb2.94W0.06,1954
Al1Nb2.973Zr0.027,1954
Al1Nb2.976Ti0.024,1954
Al1Nb2.97W0.03,1954
Al1Nb2.97Zr0.03,1954
Al1Nb2.993Zr0.007,1954
Cr0.28Ir0.72,1954
Cr0.67Os0.33,1954
Cr0.72Ir0.28,1954
Cr0.7Ir0.3,1954
Ga1Nb4Se8,1954
Ga1Ni2Zr1,1954
Ga25Mn14V61,1954
Ga41Mo8,1954
Al20.3V20,1954
Al20Pr1Ti2,1954
Al20Pr1V2,1954
Al20V2Y1,1954
Al2C1Mo3,1954
Al43Mo4Y6,1954
Si3V5,1954
Cr34.9Ga25V40.1,1954
Au1Ta2,1954
As1Nb1Si1,1954
Os0.3Ta0.7,1954
Os1P1Ti1,1954
Os1Si1Ti1,1954
Au2Nb3,1954
Au9Nb11,1954
Al20La1V2,1954
Al0.215Nb0.785,1954
Cr1Ga4,1954
Al1Mo0.15Nb2.85,1954
Al1Mo0.225Nb2.775,1954
Al1Mo0.3Nb2.7,1954
Al1Mo1.5Nb1.5,1954
Al1Mo1.8Nb1.2,1954
Cu2Sn1Ti1,1954
Al1Nb2.859V0.141,1954
Al1Nb2.859Zr0.141,1954
Pt0.2Ta0.8,1954
C1Cr2Ga1,1954
C1Ga1Mo2,1954
C1Ir1Mo3,1954
C1Nb2Sn1,1954
Co0.5Rh0.5V3,1954
Al1Nb2.927Zr0.073,1954
Al1Nb2.94Ta0.06,1954
Al1Nb0.1Pd2Zr0.9,1954
Al1Nb2.706V0.294,1954
Al1Nb2.739Ta0.261,1954
Al1Nb2.73Ti0.27,1954
Al1Nb2.778Ti0.222,1954
Al1Nb2.7V0.3,1954
Nb3Os0.9Rh0.1,1954
Al1Pd2Zr1,1954
Al1Nb2.85Ta0.15,1954
Al1Nb2.85W0.15,1954
Al1Nb2.88Ti0.12,1954
Al1Nb2.895W0.105,1954
Al1Nb2.917Ti0.083,1954
Al1Nb2.91Zr0.09,1954
Al0.2Nb0.75Si0.05,1954
Al0.33Ga0.67Nb3,1954
Al0.35Ga0.65Nb3,1954
Al0.5Ga0.5V3,1954
Al0.7Be0.3Nb3,1954
Ir0.1Nb3Rh0.9,1954
Cr0.915Pt0.185,1954
Al0.924Nb3Se0.076,1954
Al0.95B0.05Nb3,1954
Al1Nb2Ni1,1954
Ga1Nb1Ni2,1954
Al0.9Nb3Sb0.1,1954
Al0.9Nb3Se0.1,1954
Al0.9Nb3Sn0.1,1954
Al0.9Nb3Zn0.1,1954
Al1Cr0.3Nb2.7,1954
Al1Hf0.015Nb2.985,1954
Al1Hf0.081Nb2.919,1954
Al1Hf0.15Nb2.85,1954
Ir0.7Nb3Rh0.3,1954
Ir0.85Ta0.15,1954
Ru1,1958
Rh0.04Ru0.96,1958
Ni0.08Ru0.92,1958
Ni0.031Ru0.969,1958
Pd0.015Ru0.985,1958
Ag0.07Sn0.9Te1,1960
Ag0.885Sb0.115,1960
Ag0.94Tl0.06,1960
Ag1B2,1960
Ag1Te3,1960
Al0.01B0.99Li2Pt3,1960
Bi1Pd1Se1,1960
Bi1Pd2,1960
Nb3Te1,1960
Nd1P2Pd2,1960
Nd1Pt1Si1,1960
Nd1Ru4Sb12,1960
Nd2Rh3Sn5,1960
Ni0.08S2Ta1,1960
Al0.74Ca1Si1.26,1960
Al0.8Ca1Ga0.2Si1,1960
Ag0.15Sn0.85Te1,1960
Al0.1B0.9Li2Pd3,1960
Al0.05B0.95Li2Pd3,1960
Al0.05B0.95Li2Pt3,1960
Al0.08Au0.92,1960
Al0.6Mg1.4Si1,1960
Al0.14Au0.86,1960
In1Pr3,1960
Al0.05Au0.95,1960
Al0.39Mg0.61,1960
Al0.8Ca1Si1.2,1960
Al0.5Ge0.5Th2,1960
Ag0.6Al0.4,1960
Ag0.667Al0.333,1960
Ag0.65Al0.35,1960
Ag0.625Al0.375,1960
Ag0.02Ge2Pd1.98Sr1,1960
Mn0.63Mo0.37,1960
Mn0.73Mo0.27,1960
Ir3Sc1,1960
Ag0.5Pd0.5Th2,1960
Ag0.5Ba1Si1.5,1960
Ag0.5Al0.5Th2,1960
K2Te3,1960
Ir0.85Pt0.15Te2,1960
Ir0.8Pt0.2Te2,1960
Br0.7C2I1.3Y2,1960
Br0.8C2I1.2Y2,1960
Br1.75C2Cl0.25Y2,1960
In0.008Sn0.98Te1,1960
In0.009Sn0.979Te1,1960
In0.18Mg0.82,1960
Bi1La1Pt1,1960
Bi1La4Pb2,1960
Bi1Li1,1960
Bi1Na1,1960
Bi1Pd1,1960
In1Sc3,1960
In1Th2,1960
In1Zr3,1960
Bi1Pt1,1960
Bi1Pt1Se1,1960
Bi1Pt1Te1,1960
Bi1Rh1,1960
Bi1Sb1,1960
Bi1Te2Tl1,1960
Bi1Cu1,1960
Bi1K1,1960
Bi2Pd3Se2,1960
Bi2Rb1,1960
Bi2Rh1,1960
Bi3Cs1Pb1Te6,1960
Br0.4C2I1.6Y2,1960
Br0.5C2I1.5Y2,1960
Br0.6C2I1.4Y2,1960
Br0.75C2I1.25Y2,1960
Nb0.7Ru0.3,1960
Nb1P1Ru1,1960
Nb1P1Se1,1960
